	Vineyard	Treatment	Replication	Time	Cluster weight (T0)	Berry weight(T0)	TSS (T0)	TA  (T0)	Firmness  (T0)	Multiplex (FER_RG)  (T0)	Multiplex (Ferrari)  (T0)	Rachis Index  (T0)	Cracking index  (T0)	Shattering(%) (T0)	Acceptance  (T0)	Cluster weight	Berry weight	TSS	TA	Firmness	Multiplex (FER_RG)	Multiplex (Ferrari)	Weightloss (%)	Rachis Index	Bleaching index 	Cracking index	Shatter	Shattering(%)	Decay	Decay (%)	Shriveling 	Acceptance	Vineyard_Number_of_measures	Vineyard_index	Vineyard_Std_index	Vineyard_Incidence	Vineyard_Std_Incidence	new_time	disruption_length	disruption_temperature	treatment	mapped_period	Temperature_dday	kPa
0	A	1	1	I	614.94	8.26	20.2	0.48	1.8496814	3.12	0.4752	0.1	2	0.16261749113734672	4.5	607.95	8.33	16.3	0.453	1.9364604	5.081	0.6187	1.136696263050055	0.5	3	2	2	0.3289744222386709	2	2.7403569372481287	1	3	4	1.57	0.06	47	6.831300510639732	1	12	0	1	1	27.984374999999996	0.04511263763957754
1	A	1	2	I	576.82	7.545	20.5	0.414	2.1727874	3.824	0.5383	0.1	1	0.1733643077563191	4.5	568.28	6.82	18.7	0.468	2.0335392	3.577	0.4573	1.4805311882389787	0.4	2	3	3	0.5279087773632717	3	3.6003378616175135	1	4	4	1.57	0.06	47	6.831300510639732	1	12	0	1	1	27.984374999999996	0.04511263763957754
2	A	1	3	I	511.78	8.63	18.3	0.393	0.9686222	6.102	0.8062	0.1	1	0.0	5.0	502.63	7.51	18.8	0.495	2.0547268	4.221	0.7815	1.7878776036578174	0.5	1	2	0	0.0	0	0.0	1	4	4	1.57	0.06	47	6.831300510639732	1	12	0	1	1	27.984374999999996	0.04511263763957754
3	A	1	4	I	611.84	7.79	19.1	0.394	3.7728726	4.978	0.62	0.1	1	0.0	5.0	603.09	7.905	18.9	0.399	2.064517	3.41	0.3085	1.4301124476987446	0.5	3	2	2	0.33162546220298794	2	2.6214992787146194	1	4	4	1.57	0.06	47	6.831300510639732	1	12	0	1	1	27.984374999999996	0.04511263763957754
4	A	1	5	I	616.66	7.865	17.4	0.468	0.9768052	2.737	0.1949	0.1	1	0.0	5.0	606.65	8.43	16.1	0.523	1.815352	5.788	0.9465	1.62326079200856	0.5	1	1	1	0.16483969339817028	1	1.3895986153465756	3	4	4	1.57	0.06	47	6.831300510639732	1	12	0	1	1	27.984374999999996	0.04511263763957754
5	A	1	6	I	487.45	7.895	18.3	0.424	3.4142513999999995	2.62	0.211	0.1	2	0.0	4.5	480.45	7.945	18.6	0.381	2.0031102	2.101	0.1375	1.4360447225356447	0.5	3	2	0	0.0	0	0.0	2	3	4	1.57	0.06	47	6.831300510639732	1	12	0	1	1	27.984374999999996	0.04511263763957754
6	A	1	7	I	602.06	8.555	18.6	0.315	4.7079494	4.081	0.3235	0.1	1	0.0	5.0	593.92	9.61	18.2	0.402	2.0573924	3.69	0.5821	1.3520247151446678	0.4	2	3	2	0.33674568965517243	2	3.2361260775862073	1	4	4	1.57	0.06	47	6.831300510639732	1	12	0	1	1	27.984374999999996	0.04511263763957754
7	A	1	8	I	650.73	7.14	18.8	0.339	2.008902	2.328	0.1536	0.1	1	0.0	5.0	641.92	8.47	19.4	0.354	2.9215466	3.914	0.7196	1.3538641218324128	0.6	2	3	0	0.0	0	0.0	1	3	4	1.57	0.06	47	6.831300510639732	1	12	0	1	1	27.984374999999996	0.04511263763957754
8	A	1	9	I	654.13	8.88	19.1	0.39	0.984067	3.056	0.2178	0.1	1	0.0	5.0	645.18	8.39	18.9	0.396	2.6732048	3.545	0.4502	1.3682295568159304	0.5	2	3	0	0.0	0	0.0	2	4	4	1.57	0.06	47	6.831300510639732	1	12	0	1	1	27.984374999999996	0.04511263763957754
9	A	1	10	I	646.01	5.755	19.8	0.409	3.3693183999999996	3.278	0.1779	0.1	3	0.0	4.0	632.05	5.295	20.0	0.426	1.584807	5.24	0.5683	2.160957260723524	0.4	2	3	5	0.7910766553279013	5	4.188750889961237	3	3	4	1.57	0.06	47	6.831300510639732	1	12	0	1	1	27.984374999999996	0.04511263763957754
10	B	1	1	I	484.21	8.095	22.4	0.373	4.4009252	3.75	0.3049	0.1	1	0.0	5.0	481.74	9.16	19.8	0.537	3.4779808	5.942	0.5355	0.5127247062730872	0.3	2	2	1	0.20758085274214305	1	1.9014406111180302	1	4	4	1.09	0.08	8	5.656854249492381	1	12	0	1	1	27.984374999999996	0.04511263763957754
11	B	1	2	I	592.39	9.715	21.2	0.354	2.7998893999999996	4.735	0.4863	0.1	1	0.0	5.0	586.29	9.98	21.1	0.505	3.2439078	4.117	0.5402	1.0404407375189793	0.4	1	3	2	0.34112811066195914	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	12	0	1	1	27.984374999999996	0.04511263763957754
12	B	1	3	I	605.74	9.055	19.8	0.436	3.6209138	3.61	0.258	0.0	1	0.16508733119820385	5.0	600.26	8.9	20.7	0.582	2.4114664	4.108	0.3846	0.9129377269849761	0.4	1	2	1	0.1665944757271849	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	12	0	1	1	27.984374999999996	0.04511263763957754
13	B	1	4	I	619.48	12.85	19.8	0.332	5.2190389999999995	3.798	0.2172	0.1	1	0.0	5.0	612.29	10.285	19.4	0.594	5.5041112	3.709	0.1628	1.1742801613614553	0.5	1	1	1	0.16332130199741954	1	1.6797595910434602	1	4	4	1.09	0.08	8	5.656854249492381	1	12	0	1	1	27.984374999999996	0.04511263763957754
14	B	1	5	I	629.73	9.635	18.9	0.368	4.5569118	3.336	0.2015	0.0	1	0.0	5.0	623.11	9.98	18.7	0.45	4.685232999999999	3.916	0.4247	1.0624127361140094	0.5	2	2	0	0.0	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	12	0	1	1	27.984374999999996	0.04511263763957754
15	B	1	6	I	618.18	9.48	19.8	0.373	2.697401	3.856	0.3501	0.0	1	0.0	5.0	611.28	9.115	19.8	0.575	3.3123804	3.889	0.3134	1.1287789556340755	0.6	2	3	0	0.0	0	0.0	1	3	4	1.09	0.08	8	5.656854249492381	1	12	0	1	1	27.984374999999996	0.04511263763957754
16	B	1	7	I	571.15	8.025	20.4	0.399	1.4985571999999998	4.727	0.5493	0.1	1	0.0	5.0	565.06	6.94	21.0	0.549	1.685355	4.518	0.2841	1.0777616536297088	0.4	2	1	2	0.35394471383569887	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	12	0	1	1	27.984374999999996	0.04511263763957754
17	B	1	8	I	645.43	8.095	21.2	0.405	4.1610898	4.002	0.5045	0.1	1	0.0	5.0	638.66	8.355	21.8	0.537	2.001699	3.467	0.3838	1.0600319418783049	0.5	2	2	2	0.31315566968339964	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	12	0	1	1	27.984374999999996	0.04511263763957754
18	B	1	9	I	580.27	9.405	19.7	0.349	5.0259006	4.379	0.2764	0.1	1	0.0	5.0	572.35	10.615	19.8	0.535	3.9507622	4.707	0.4489	1.3837686730147565	0.5	2	2	3	0.5241548003843801	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	12	0	1	1	27.984374999999996	0.04511263763957754
19	B	1	10	I	647.86	7.77	20.6	0.435	2.3995398	2.804	0.2141	0.1	1	0.154354335813293	5.0	640.79	8.07	20.4	0.497	4.5026492	3.218	0.1973	1.103325582484129	0.4	1	1	4	0.6242294667519781	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	12	0	1	1	27.984374999999996	0.04511263763957754
20	A	2	1	I	679.18	5.87	18.4	0.406	3.5370747999999996	3.361	0.2018	0.0	1	0.0	5.0	671.22	5.15	19.6	0.475	1.4265566	5.482	0.7981	1.1720015312582708	0.4	2	2	0	0.0	0	0.0	2	4	4	1.57	0.06	47	6.831300510639732	1	12	0	2	1	9.938541666666664	0.07362177431695716
21	A	2	2	I	570.32	7.185	17.6	0.558	0.855295	2.358	0.1937	0.1	1	0.0	5.0	564.07	7.17	15.9	0.46	2.386937	2.437	0.2411	1.0958759994389116	0.4	2	1	0	0.0	0	0.0	3	4	4	1.57	0.06	47	6.831300510639732	1	12	0	2	1	9.938541666666664	0.07362177431695716
22	A	2	3	I	592.36	7.345	17.9	0.31	2.8945182	2.742	0.1059	0.1	1	0.0	5.0	581.65	8.91	17.5	0.4	4.0386584	3.008	0.352	1.808022148693368	0.6	2	2	0	0.0	0	0.0	1	3	4	1.57	0.06	47	6.831300510639732	1	12	0	2	1	9.938541666666664	0.07362177431695716
23	A	2	4	I	607.54	8.82	17.6	0.354	1.9588534	5.302	0.6607	0.1	1	0.0	5.0	597.41	8.96	16.7	0.399	1.486121	4.401	0.7238	1.667379925601606	0.4	2	1	0	0.0	0	0.0	1	4	4	1.57	0.06	47	6.831300510639732	1	12	0	2	1	9.938541666666664	0.07362177431695716
24	A	2	5	I	560.99	6.465	18.2	0.312	2.0244742000000002	2.636	0.4219	0.1	1	0.0	5.0	549.48	6.29	17.3	0.48	1.3452264	5.165	0.6628	2.0517299773614486	0.6	2	2	0	0.0	0	0.0	2	3	4	1.57	0.06	47	6.831300510639732	1	12	0	2	1	9.938541666666664	0.07362177431695716
25	A	2	6	I	643.4	9.39	18.1	0.34	3.5414456	3.882	0.6477	0.1	1	0.0	5.0	628.28	10.195	18.7	0.387	1.6121489999999998	3.564	0.7198	2.350015542430837	0.5	2	3	0	0.0	0	0.0	1	3	4	1.57	0.06	47	6.831300510639732	1	12	0	2	1	9.938541666666664	0.07362177431695716
26	A	2	7	I	597.92	10.535	19.0	0.3	1.4539084	5.06	0.4712	0.1	2	0.16724645437516727	5.0	584.48	8.065	18.5	0.421	2.0274436	4.547	0.3677	2.247792346802238	0.6	2	1	2	0.3421845058855735	2	2.75971803996715	2	4	4	1.57	0.06	47	6.831300510639732	1	12	0	2	1	9.938541666666664	0.07362177431695716
27	A	2	8	I	539.88	9.975	19.7	0.3	2.2110858	5.511	0.6547	0.1	1	0.0	5.0	524.45	9.085	17.6	0.391	1.753318	4.621	0.7584	2.858042527969169	0.6	2	2	0	0.0	0	0.0	2	4	4	1.57	0.06	47	6.831300510639732	1	12	0	2	1	9.938541666666664	0.07362177431695716
28	A	2	9	I	596.76	7.46	18.6	0.31	2.745176	3.465	0.4156	0.1	1	0.0	5.0	584.54	9.565	17.4	0.456	1.2483043999999999	4.875	0.7497	2.047724378309543	0.6	2	2	1	0.17107469121018237	1	1.636329421425394	2	4	4	1.57	0.06	47	6.831300510639732	1	12	0	2	1	9.938541666666664	0.07362177431695716
29	A	2	10	I	499.39	11.085	18.6	0.3	4.1406469999999995	6.508	0.6554	0.1	1	0.0	5.0	485.15	10.79	18.1	0.378	2.3403576	4.165	0.8007	2.851478804141054	0.7	2	3	1	0.20612181799443471	1	2.2240544161599507	2	2	4	1.57	0.06	47	6.831300510639732	1	12	0	2	1	9.938541666666664	0.07362177431695716
30	B	2	1	I	664.93	8.35	23.1	0.396	2.1259433999999997	4.023	0.4115	0.1	1	0.0	5.0	657.67	9.94	20.7	0.544	3.785691	4.274	0.4417	1.1038970912463686	0.5	1	3	4	0.6082077637721046	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	12	0	2	1	9.938541666666664	0.07362177431695716
31	B	2	2	I	671.74	10.265	19.8	0.426	3.1373328000000003	3.935	0.2789	0.1	1	0.0	5.0	663.1	10.245	20.2	0.573	3.7743916	2.649	0.2674	1.3029708942844196	0.5	1	4	3	0.4524204494043131	0	0.0	1	3	4	1.09	0.08	8	5.656854249492381	1	12	0	2	1	9.938541666666664	0.07362177431695716
32	B	2	3	I	650.83	9.72	20.0	0.426	3.1959172	3.814	0.2841	0.0	1	0.15364995467326337	5.0	642.46	8.015	20.0	0.583	3.2723375999999997	4.456	0.4101	1.3028048438813318	0.4	2	2	3	0.46695514117610426	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	12	0	2	1	9.938541666666664	0.07362177431695716
33	B	2	4	I	571.54	9.18	21.3	0.397	5.687400599999999	4.532	0.286	0.1	1	0.0	5.0	564.75	10.995	20.0	0.513	2.7975961999999996	4.586	0.4393	1.2023019034971163	0.6	1	2	0	0.0	0	0.0	1	3	4	1.09	0.08	8	5.656854249492381	1	12	0	2	1	9.938541666666664	0.07362177431695716
34	B	2	5	I	660.01	8.715	20.8	0.387	3.4790783999999997	4.846	0.4122	0.1	1	0.0	5.0	651.66	11.13	20.7	0.53	3.207491	3.641	0.4347	1.281343031642271	0.6	2	2	0	0.0	0	0.0	1	3	4	1.09	0.08	8	5.656854249492381	1	12	0	2	1	9.938541666666664	0.07362177431695716
35	B	2	6	I	657.26	11.18	19.1	0.394	3.9076421999999997	4.603	0.3259	0.0	1	0.0	5.0	646.01	10.425	19.3	0.492	3.8902962	5.273	0.4033	1.7414591105400845	0.6	2	3	3	0.4643890961440226	0	0.0	1	3	4	1.09	0.08	8	5.656854249492381	1	12	0	2	1	9.938541666666664	0.07362177431695716
36	B	2	7	I	565.11	8.685	20.0	0.406	3.6856525999999996	3.151	0.2042	0.1	1	0.17695669869582914	5.0	557.37	9.565	18.9	0.507	3.8444811999999997	4.838	0.4609	1.3886646213466833	0.6	2	2	1	0.17941403376572115	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	12	0	2	1	9.938541666666664	0.07362177431695716
37	B	2	8	I	637.18	10.185	19.6	0.324	3.4239828	4.041	0.3395	0.1	1	0.156941523588311	5.0	613.57	8.685	20.1	0.426	3.5286663999999996	3.674	0.3378	3.8479717065697314	0.5	2	1	1	0.16298058901184867	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	12	0	2	1	9.938541666666664	0.07362177431695716
38	B	2	9	I	664.06	11.48	21.3	0.447	3.5879073999999997	4.137	0.5045	0.0	1	0.0	5.0	653.49	11.045	21.1	0.61	3.3807158	4.601	0.5111	1.6174692803256265	0.7	1	1	0	0.0	1	1.690155931995899	1	3	4	1.09	0.08	8	5.656854249492381	1	12	0	2	1	9.938541666666664	0.07362177431695716
39	B	2	10	I	619.25	9.095	22.1	0.312	5.0709903999999995	2.561	0.2644	0.1	1	0.0	5.0	609.38	10.25	20.7	0.453	4.0161282	3.961	0.6496	1.6196790180183145	0.7	1	1	1	0.16410121763103483	0	0.0	1	3	4	1.09	0.08	8	5.656854249492381	1	12	0	2	1	9.938541666666664	0.07362177431695716
40	A	3	1	I	482.19	11.905	16.6	0.427	3.2805402	3.058	0.2363	0.1	1	0.0	5.0	479.08	13.335	17.1	0.385	4.3864506	5.116	0.7725	0.6449739729152437	0.5	2	1	0	0.0	0	0.0	2	4	4	1.57	0.06	47	6.831300510639732	1	1	2.5	3	1	20.106250000000003	0.04511263763957754
41	A	3	2	I	657.06	10.1	19.0	0.332	2.3883775999999997	3.189	0.4046	0.1	1	0.0	5.0	651.65	12.105	17.6	0.43	3.4149668	3.484	0.4743	0.823364685112466	0.4	3	4	0	0.0	0	0.0	2	3	4	1.57	0.06	47	6.831300510639732	1	1	2.5	3	1	20.106250000000003	0.04511263763957754
42	A	3	3	I	686.66	8.03	18.9	0.342	1.3978622	4.535	0.4413	0.0	1	0.0	5.0	679.22	7.72	18.9	0.531	2.381302	4.105	0.5921	1.0835056651035362	0.4	1	2	1	0.1472277023644769	1	1.1365978622537616	2	4	4	1.57	0.06	47	6.831300510639732	1	1	2.5	3	1	20.106250000000003	0.04511263763957754
43	A	3	4	I	662.52	10.705	17.3	0.358	3.5032745999999997	3.012	0.2795	0.0	1	0.0	5.0	657.44	6.98	16.8	0.504	2.0073928	3.061	0.411	0.7667693050775716	0.4	2	4	0	0.0	0	0.0	1	4	4	1.57	0.06	47	6.831300510639732	1	1	2.5	3	1	20.106250000000003	0.04511263763957754
44	A	3	5	I	652.43	10.3	9.0	0.315	3.318868	3.806	0.5476	0.1	2	0.15327314807718836	5.0	647.86	9.12	16.8	0.456	1.4706761999999998	3.585	0.7356	0.7004582867127411	0.5	2	1	2	0.308708671626586	2	2.815423085234464	1	4	4	1.57	0.06	47	6.831300510639732	1	1	2.5	3	1	20.106250000000003	0.04511263763957754
45	A	3	6	I	674.61	9.83	17.4	0.318	2.5485096	2.285	0.1553	0.1	1	0.0	5.0	667.71	10.87	17.4	0.435	2.8316316	3.008	0.3451	1.0228131809489893	0.5	2	1	0	0.0	0	0.0	2	4	4	1.57	0.06	47	6.831300510639732	1	1	2.5	3	1	20.106250000000003	0.04511263763957754
46	A	3	7	I	675.18	8.78	17.3	0.337	2.3466099999999996	4.958	0.8498	0.1	2	0.0	5.0	665.19	9.25	17.7	0.433	1.6610804	3.612	0.9715	1.4796054385497046	0.5	2	2	0	0.0	0	0.0	1	4	4	1.57	0.06	47	6.831300510639732	1	1	2.5	3	1	20.106250000000003	0.04511263763957754
47	A	3	8	I	651.83	10.825	15.5	0.361	3.5370846	3.419	0.2925	0.1	1	0.0	5.0	642.19	9.19	15.8	0.466	3.2247291999999996	3.892	0.4306	1.4789132135679526	0.6	3	3	1	0.1557171553590059	1	1.4310406577492643	1	3	4	1.57	0.06	47	6.831300510639732	1	1	2.5	3	1	20.106250000000003	0.04511263763957754
48	A	3	9	I	557.26	6.59	18.0	0.325	2.758651	4.711	0.8095	0.1	1	0.0	5.0	549.68	6.89	17.4	0.45	0.6187328	4.582	0.5825	1.3602268241036573	0.6	1	2	1	0.18192402852568768	1	1.2534565565419882	2	4	4	1.57	0.06	47	6.831300510639732	1	1	2.5	3	1	20.106250000000003	0.04511263763957754
49	A	3	10	I	505.86	10.07	18.4	0.31	4.6674362	4.612	0.3888	0.1	1	0.0	5.0	500.98	7.6	18.5	0.379	2.672852	4.368	0.8973	0.964693788795318	0.5	1	2	1	0.1996087668170386	1	1.5170266278094933	2	4	4	1.57	0.06	47	6.831300510639732	1	1	2.5	3	1	20.106250000000003	0.04511263763957754
50	B	3	1	I	639.71	9.655	20.1	0.46	4.4651642	4.672	0.4609	0.0	1	0.15632083287739756	5.0	626.18	8.315	21.3	0.563	2.1826168	3.647	0.2827	2.16072055958352	0.5	1	1	0	0.0	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	1	2.5	3	1	20.106250000000003	0.04511263763957754
51	B	3	2	I	519.58	8.88	19.3	0.406	2.347982	2.657	0.25	0.0	1	0.0	5.0	505.5	9.49	21.2	0.492	2.8148245999999997	5.272	0.5126	2.7853610286844788	0.5	1	1	1	0.19782393669634024	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	1	2.5	3	1	20.106250000000003	0.04511263763957754
52	B	3	3	I	497.66	9.385	19.1	0.391	1.672615	5.121	0.4712	0.1	1	0.0	5.0	487.1	9.43	21.8	0.585	2.2917006	3.814	0.3339	2.1679326626975985	0.5	1	1	1	0.20529665366454528	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	1	2.5	3	1	20.106250000000003	0.04511263763957754
53	B	3	4	I	661.27	10.39	18.5	0.354	3.3991594	3.839	0.4344	0.0	1	0.0	5.0	647.41	9.445	19.8	0.528	4.026281	3.745	0.2696	2.1408381087718777	0.5	2	2	0	0.0	1	1.4588900387698678	1	4	4	1.09	0.08	8	5.656854249492381	1	1	2.5	3	1	20.106250000000003	0.04511263763957754
54	B	3	5	I	577.89	14.83	18.3	0.339	2.5249601999999998	3.892	0.2955	0.1	1	0.0	5.0	568.37	12.825	18.4	0.591	4.6827536	4.584	0.2526	1.674965251508697	0.4	2	1	1	0.1759417280996534	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	1	2.5	3	1	20.106250000000003	0.04511263763957754
55	B	3	6	I	630.28	9.575	17.9	0.366	1.9824028	4.923	0.7036	0.0	1	0.0	5.0	615.46	7.53	20.7	0.523	1.7936155999999999	4.917	0.3687	2.4079550255093647	0.6	1	1	1	0.16248009618821693	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	1	2.5	3	1	20.106250000000003	0.04511263763957754
56	B	3	7	I	497.6	12.855	19.3	0.379	3.6987061999999997	2.526	0.3302	0.0	1	0.0	4.0	487.13	12.295	20.0	0.537	3.197691	4.559	0.5082	2.1493235891856437	0.8	1	2	0	0.0	0	0.0	1	2	4	1.09	0.08	8	5.656854249492381	1	1	2.5	3	1	20.106250000000003	0.04511263763957754
57	B	3	8	I	717.01	7.995	19.1	0.381	3.9063976	3.001	0.3125	0.1	1	0.0	4.0	706.47	6.965	22.0	0.486	2.1635068	5.618	0.5368	1.4919246394043573	0.5	1	1	0	0.0	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	1	2.5	3	1	20.106250000000003	0.04511263763957754
58	B	3	9	I	555.49	10.69	17.8	0.372	5.047391999999999	3.126	0.2344	0.0	1	0.0	5.0	548.82	12.41	18.2	0.419	4.2222712	3.61	0.3496	1.2153347181225098	0.4	1	1	0	0.0	1	2.2612149702999162	1	4	4	1.09	0.08	8	5.656854249492381	1	1	2.5	3	1	20.106250000000003	0.04511263763957754
59	B	3	10	I	614.8	7.22	19.6	0.423	1.6746337999999998	2.886	0.2553	0.0	1	0.0	5.0	607.05	8.22	19.9	0.55	4.0394423999999995	3.986	0.376	1.276665843011284	0.4	1	2	1	0.16473107651758506	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	1	2.5	3	1	20.106250000000003	0.04511263763957754
60	A	5	1	I	626.02	10.025	15.7	0.535	1.4559566	4.819	0.7705	0.3	2	0.0	4.5	619.18	10.39	16.2	0.373	1.4746256	4.852	0.6331	1.0926168493019444	0.6	2	3	1	0.16150392454536647	1	1.6780257760263577	1	3	4	1.57	0.06	47	6.831300510639732	1	3	2.5	5	1	54.66145833333334	0.03821035396355319
61	A	5	2	I	661.48	9.88	16.5	0.313	2.0829703999999998	7.067	0.7457	0.1	1	0.0	5.0	651.19	8.95	15.9	0.429	2.7379828	4.587	0.7235	1.55560258813569	0.4	2	1	0	0.0	0	0.0	1	4	4	1.57	0.06	47	6.831300510639732	1	3	2.5	5	1	54.66145833333334	0.03821035396355319
62	A	5	3	I	684.83	9.125	17.0	0.433	2.3270002	5.951	0.5308	0.1	1	0.29204328081421665	5.0	678.33	8.975	16.2	0.415	1.5779078	5.226	0.7925	0.9491406626462041	0.7	2	3	5	0.7371043592351805	5	6.615511624135745	2	3	4	1.57	0.06	47	6.831300510639732	1	3	2.5	5	1	54.66145833333334	0.03821035396355319
63	A	5	4	I	593.89	13.1	15.4	0.36	2.0667807999999996	4.837	0.4974	0.1	2	0.0	5.0	588.66	10.345	17.2	0.352	1.4224210000000002	3.37	0.3739	0.8806344609271108	0.5	2	4	0	0.0	0	0.0	2	3	4	1.57	0.06	47	6.831300510639732	1	3	2.5	5	1	54.66145833333334	0.03821035396355319
64	A	5	5	I	581.13	8.02	17.8	0.364	2.575489	4.035	0.494	0.2	1	0.0	4.5	575.83	6.5	19.8	0.385	0.5035926	4.069	0.5781	0.9120162442138514	0.6	2	3	0	0.0	0	0.0	2	4	4	1.57	0.06	47	6.831300510639732	1	3	2.5	5	1	54.66145833333334	0.03821035396355319
65	A	5	6	I	547.77	5.85	19.4	0.385	2.3558122	5.312	0.7163	0.1	1	0.0	5.0	542.89	8.485	18.8	0.43	2.2886233999999996	3.536	0.6831	0.8908848604341231	0.5	1	2	0	0.0	0	0.0	1	4	4	1.57	0.06	47	6.831300510639732	1	3	2.5	5	1	54.66145833333334	0.03821035396355319
66	A	5	7	I	561.6	8.415	18.1	0.379	1.150275	3.414	0.245	0.1	1	0.0	5.0	555.69	8.53	17.3	0.478	1.6865898	4.555	0.6602	1.0523504273504216	0.6	2	3	0	0.0	0	0.0	1	3	4	1.57	0.06	47	6.831300510639732	1	3	2.5	5	1	54.66145833333334	0.03821035396355319
67	A	5	8	I	679.56	5.715	17.8	0.441	2.7995170000000003	3.059	0.3789	0.1	1	0.0	5.0	673.25	8.67	13.1	0.513	1.2328694	3.263	0.3395	0.9285419977632505	0.4	2	2	0	0.0	0	0.0	2	4	4	1.57	0.06	47	6.831300510639732	1	3	2.5	5	1	54.66145833333334	0.03821035396355319
68	A	5	9	I	629.94	8.23	17.6	0.49	1.899534	5.908	0.7485	0.1	1	0.0	5.0	625.76	9.075	16.2	0.382	2.7966162000000003	4.811	0.5881	0.663555259231048	0.5	2	3	0	0.0	0	0.0	2	4	4	1.57	0.06	47	6.831300510639732	1	3	2.5	5	1	54.66145833333334	0.03821035396355319
69	A	5	10	I	631.78	10.16	17.2	0.417	3.6949430000000003	2.914	0.2316	0.1	1	0.0	5.0	628.04	6.33	16.2	0.502	1.7830021999999999	3.291	0.5236	0.5919782202665499	0.5	2	3	0	0.0	0	0.0	3	3	4	1.57	0.06	47	6.831300510639732	1	3	2.5	5	1	54.66145833333334	0.03821035396355319
70	B	5	1	I	650.05	11.73	20.9	0.406	3.7574571999999997	3.154	0.1756	0.0	1	0.0	5.0	647.48	12.205	19.5	0.566	4.1140596	4.327	0.2811	0.39692345709519	0.5	1	1	0	0.0	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	3	2.5	5	1	54.66145833333334	0.03821035396355319
71	B	5	2	I	658.9	9.91	21.8	0.352	3.7582804	2.955	0.1626	0.0	1	0.0	5.0	652.71	9.985	20.4	0.497	4.559842	3.931	0.2105	0.948353786520804	0.5	1	1	0	0.0	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	3	2.5	5	1	54.66145833333334	0.03821035396355319
72	B	5	3	I	514.77	7.26	21.2	0.352	4.7304502	4.645	0.4437	0.1	1	0.19426151485129284	5.0	504.85	8.64	21.3	0.568	2.7292902000000003	4.037	0.2997	1.9649400812122333	0.6	1	1	1	0.1980786372189759	0	0.0	1	3	4	1.09	0.08	8	5.656854249492381	1	3	2.5	5	1	54.66145833333334	0.03821035396355319
73	B	5	4	I	612.75	9.625	20.5	0.411	4.5301186	3.871	0.314	0.1	1	0.0	5.0	608.81	4.595	23.3	0.676	1.6826306	4.517	0.4595	0.647164139879446	0.6	1	1	1	0.16425485783742055	0	0.0	1	3	4	1.09	0.08	8	5.656854249492381	1	3	2.5	5	1	54.66145833333334	0.03821035396355319
74	B	5	5	I	622.97	11.25	20.0	0.414	4.89363	3.549	0.2451	0.0	1	0.0	5.0	608.81	9.255	21.7	0.552	2.7466361999999998	4.542	0.4084	2.3258487869778888	0.5	1	2	0	0.0	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	3	2.5	5	1	54.66145833333334	0.03821035396355319
75	B	5	6	I	644.63	10.015	18.5	0.368	4.682489	4.822	0.429	0.0	1	0.0	5.0	615.66	11.34	21.2	0.561	4.478159	4.129	0.3079	4.70551928012215	0.5	1	1	2	0.3248546275541695	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	3	2.5	5	1	54.66145833333334	0.03821035396355319
76	B	5	7	I	607.4	6.42	23.9	0.406	3.6497356	3.671	0.4093	0.1	1	0.0	5.0	597.75	8.82	20.5	0.528	3.4295982	4.123	0.3317	1.6143872856545343	0.5	2	2	1	0.1672940192388122	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	3	2.5	5	1	54.66145833333334	0.03821035396355319
77	B	5	8	I	633.23	8.34	21.4	0.43	4.5557162	3.975	0.388	0.0	1	0.0	5.0	597.75	9.075	20.6	0.577	3.106845	4.261	0.4339	5.935591802593061	0.6	1	2	1	0.1672940192388122	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	3	2.5	5	1	54.66145833333334	0.03821035396355319
78	B	5	9	I	591.33	7.855	21.1	0.432	4.3380484	3.763	0.2965	0.0	1	0.0	5.0	583.39	8.585	20.4	0.526	3.6998037999999998	4.679	0.2693	1.3610106446802404	0.5	1	1	0	0.0	0	0.0	1	4	4	1.09	0.08	8	5.656854249492381	1	3	2.5	5	1	54.66145833333334	0.03821035396355319
